Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Alaska,Alberta,Arizona,Audio Test,BC 1,BC 2,BC Local Net 1,BayNet,Bridge,Bridge 2 103100,California 1,Canada,Cascades East,Colorado HD,Comm 1,Comm 2,DCI 1,DCI 2,Em Comm 1,EmComm 2,English PTT 113,English PTT 123,Fusion,Hawaii,Hawaii 31150,I5,Idaho 1,Idaho ARES,Local 1,Local 2,MPRG,MTN 2,Manitoba,Michigan 1,Michigan 2,Minnesota,Montana 2,NXDN Alabama,NXDN Florida,NXDN N America,NXDN Ragchew,NXDN Worldwide,Net 2,New Brunswick,NoCO,NorCal,North America,Ontario,Oregon 1,PNW 1,PNW 2,PNW Regional,Parrot,Public Service 1,Public Service 2,SNARS 1,SoCal,TAC 1,TAC 2,TAC 3,TAC 310,TAC 311,TAC 312,TAC 313,TAC 314,TAC 315,TAC 316,TAC 317,TAC 318,TAC 319,TAC 8,TG 9,Texas,USA,Utah,Wash 1,Wash 2,Worldwide,Worldwide Englsh
Bellingham UHF,,High,440.925,445.925,1,-,-,-,2,1,-,-,-,2,-,1,2,-,-,1,-,1,2,-,-,-,2,-,-,2,1,1,-,1,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,1,1,2,-,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,2,2
BawFaw/Ferndale,,High,440.7375,445.7375,1,-,-,-,2,1,-,-,-,2,-,1,2,-,-,1,-,1,2,-,-,-,2,-,-,2,1,1,-,1,2,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,1,1,2,-,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,2,2
Bellingham VHF,,High,146.5,147.5,1,-,-,-,2,1,-,-,-,2,-,1,2,-,-,1,-,1,2,-,-,-,2,-,2,-,1,1,-,1,2,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,1,1,2,-,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,2,2
Bremerton/Gold,,High,440.7,445.7,1,-,-,-,2,1,-,-,-,2,-,1,2,-,-,1,-,1,2,-,-,-,2,-,2,-,1,-,-,1,2,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,2,2
Bridget 434,,High,434,434,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,1,1,-,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,1,1,-,-
Buxton Oregon,,High,444.025,449.025,9,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Colton Oregon,,High,442.75,447.75,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Couer d' Alene,,High,440.925,445.925,1,-,-,-,2,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,2,2,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,1,1,2,-,1,-,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,1,2,-,-
Ellens/SunE UHF,,High,440.925,445.925,1,-,-,-,2,1,-,-,-,2,-,1,2,1,-,1,-,1,2,-,-,-,2,-,-,-,-,1,-,1,2,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,1,1,2,2,1,1,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,2
Ellens/SunE VHF,,High,147.4125,146.4125,1,-,-,-,2,1,-,-,-,2,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,1,1,2,2,1,1,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-
