"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming"
"1","DMR 145.79","145.79","145.79","D-Digital","High","12.5K","Off","Off","Simplex 99","Group Call","DMR ID","ChannelFree","Carrier","Off","1","1","1","Off","1","1","Simplex","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"2","DMR 145.51","145.51","145.51","D-Digital","High","12.5K","Off","Off","Simplex 99","Group Call","DMR ID","Always","Carrier","Off","1","1","1","Off","1","1","Simplex","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"3","DMR 441.00","441","441","D-Digital","High","12.5K","Off","Off","Simplex 99","Group Call","DMR ID","Always","Carrier","Off","1","1","1","Off","1","1","Simplex","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"4","DMR 446.5","446.5","446.5","D-Digital","High","12.5K","Off","Off","Simplex 99","Group Call","DMR ID","ChannelFree","Carrier","Off","1","1","1","Off","1","1","Simplex","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"5","DMR 446.075","446.075","446.075","D-Digital","High","12.5K","Off","Off","Simplex 99","Group Call","DMR ID","Always","Carrier","Off","1","1","1","Off","1","1","Simplex","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"6","DMR 433.45","433.45","433.45","D-Digital","High","12.5K","Off","Off","Simplex 99","Group Call","DMR ID","Always","Carrier","Off","1","1","1","Off","1","1","Simplex","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"7","BM 431 TS2","431","431","D-Digital","Mid","12.5K","Off","Off","APRS 31099 PC","Private Call","DMR ID","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR APRS","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"8","BM 432 TS2","432","432","D-Digital","Mid","12.5K","Off","Off","APRS 31099 PC","Private Call","DMR ID","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR APRS","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"9","BM 433 TS2","433","433","D-Digital","Mid","12.5K","Off","Off","APRS 31099 PC","Private Call","DMR ID","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR APRS","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"10","BM 434 TS1","434","434","D-Digital","Mid","12.5K","Off","Off","APRS 31099 PC","Private Call","DMR ID","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR APRS","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
