"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"1","APRS - Analog","144.39 aprs Rx|146.500 aprs|4.39 Alert 100.0","144.39|146.5|144.39","144.39|146.5|144.39","144.39 aprs Rx","144.39","144.39","144.39 aprs Rx","144.39","144.39"
"2","BawFaw/Ferndale","Audio Test|BC 1|Bridge|California 1|Canada|Comm 1|DCI 1|DCI 2|English PTT 123|Hawaii 31150|I5|Idaho 1|Local 1|Local 2|Montana 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375","445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375","Audio Test","440.7375","445.7375","Audio Test","440.7375","445.7375"
"3","Bellingham UHF","Audio Test|BC 1|Bridge|California 1|Canada|Comm 1|DCI 1|DCI 2|English PTT 123|Hawaii 31150|I5|Idaho 1|Local 1|Local 2|Montana 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","Audio Test","440.925","445.925","Audio Test","440.925","445.925"
"4","Bellingham VHF","Audio Test|BC 1|Bridge|California 1|Canada|Comm 1|DCI 1|DCI 2|English PTT 123|Hawaii|I5|Idaho 1|Local 1|Local 2|Montana 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5","147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5","Audio Test","146.5","147.5","Audio Test","146.5","147.5"
"5","Bremerton/Gold","Audio Test|BC 1|Bridge|California 1|Canada|Comm 1|DCI 1|DCI 2|English PTT 123|Hawaii|I5|Local 1|Local 2|Montana 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7","445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7","Audio Test","440.7","445.7","Audio Test","440.7","445.7"
"6","Bridget 434","Cascades East|I5|Idaho 1|Local 2|MPRG|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|TAC 1|TAC 2|TAC 310|TAC 314|TAC 8|TG 9|Wash 1|Wash 2","434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434","434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434","Cascades East","434","434","Cascades East","434","434"
"7","Buxton Oregon","Audio Test|I5|Local 1|Local 2|Oregon 1|Parrot|PNW 1|PNW 2|TAC 310|Wash 1|Wash 2","444.025|444.025|444.025|444.025|444.025|444.025|444.025|444.025|444.025|444.025|444.025","449.025|449.025|449.025|449.025|449.025|449.025|449.025|449.025|449.025|449.025|449.025","Audio Test","444.025","449.025","Audio Test","444.025","449.025"
"8","Colton Oregon","Audio Test|I5|Local 1|Local 2|Oregon 1|Parrot|PNW 1|PNW 2|Wash 1","442.75|442.75|442.75|442.75|442.75|442.75|442.75|442.75|442.75","447.75|447.75|447.75|447.75|447.75|447.75|447.75|447.75|447.75","Audio Test","442.75","447.75","Audio Test","442.75","447.75"
"9","Couer d' Alene","Audio Test|Bridge|Cascades East|Idaho 1|Idaho ARES|Local 1|Local 2|Montana 2|MPRG|MTN 2|Net 2|Oregon 1|Parrot|PNW 1|PNW 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|Wash 1|Wash 2","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","Audio Test","440.925","445.925","Audio Test","440.925","445.925"
"10","DMR APRS","BM 431 TS2|BM 432 TS2|BM 433 TS2|BM 434 TS1|BM 434 TS2|BM 435 TS2","431|432|433|434|434|435","431|432|433|434|434|435","BM 431 TS2","431","431","BM 431 TS2","431","431"
"11","Ellens/SunE UHF","Audio Test|BC 1|Bridge|California 1|Canada|Cascades East|Comm 1|DCI 1|DCI 2|English PTT 123|Idaho 1|Local 1|Local 2|Montana 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide Englsh","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","Audio Test","440.925","445.925","Audio Test","440.925","445.925"
"12","Ellens/SunE VHF","Audio Test|BC 1|Bridge|California 1|Canada|Cascades East|Idaho 1|Local 1|Local 2|Montana 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|TAC 1|TAC 2|TAC 3|TAC 310|USA|Wash 1|Wash 2","147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125","146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125","Audio Test","147.4125","146.4125","Audio Test","147.4125","146.4125"
"13","Enumclaw Baldi","Audio Test|BC 1|Bridge|California 1|Canada|Comm 1|Comm 2|DCI 1|DCI 2|English PTT 123|Fusion|Hawaii|I5|Idaho 1|Local 1|Local 2|Michigan 1|Montana 2|MTN 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35","446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35","Audio Test","441.35","446.35","Audio Test","441.35","446.35"
"14","Everson-Mt Sumas","Audio Test|BC 1|Bridge|California 1|Canada|Cascades East|Comm 1|DCI 1|DCI 2|Em Comm 1|EmComm 2|Hawaii|I5|Idaho 1|Local 1|Local 2|Montana 2|Net 2|North America|Oregon 1|Parrot|PNW 2|PNW Regional|Public Service 1|Public Service 2|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 313|TAC 314|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375","445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375","Audio Test","440.375","445.375","Audio Test","440.375","445.375"
"15","HotSpot","Alaska|Arizona|Audio Test|BayNet|California 1|Colorado HD|Hawaii|Idaho 1|Michigan 1|Minnesota|Montana 2|MPRG|MTN 2|NoCO|NorCal|North America|NXDN Alabama|NXDN Florida|NXDN N America|NXDN Ragchew|NXDN Worldwide|Oregon 1|PNW Regional|SNARS 1|SoCal|TAC 310|TAC 311|TAC 312|Texas|TG 9|Utah|Wash 1","434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434","434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434|434","Alaska","434","434","Alaska","434","434"
"16","Kelso Columbia","Audio Test|BC 1|Bridge|California 1|English PTT 123|Hawaii|I5|Local 1|Local 2|MTN 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|TAC 1|TAC 310|TAC 311|TAC 312|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125|444.7125","449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125|449.7125","Audio Test","444.7125","449.7125","Audio Test","444.7125","449.7125"
"17","Kelso Rainier","Audio Test|BC 1|Bridge|English PTT 123|Hawaii|I5|Local 1|Local 2|MTN 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|TAC 1|TAC 310|TAC 311|TAC 312|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7|441.7","446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7|446.7","Audio Test","441.7","446.7","Audio Test","441.7","446.7"
"18","Mazama UHF","Audio Test|BC 1|Bridge|California 1|Canada|Cascades East|Comm 1|Comm 2|DCI 1|DCI 2|English PTT 123|Fusion|Hawaii|I5|Idaho 1|Local 1|Local 2|Michigan 1|Michigan 2|Montana 2|MPRG|MTN 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15|433.15","449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65|449.65","Audio Test","433.15","449.65","Audio Test","433.15","449.65"
"19","Mazama VHF","Audio Test|BC 1|Bridge|California 1|Canada|Cascades East|Comm 1|Comm 2|DCI 1|DCI 2|English PTT 123|Fusion|Hawaii|I5|Idaho 1|Local 1|Local 2|Michigan 1|Michigan 2|Montana 2|MPRG|MTN 2|Net 2|North America|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|SNARS 1|TAC 1|TAC 2|TAC 3|TAC 310|TAC 311|TAC 312|TAC 313|TAC 314|TAC 315|TAC 316|TAC 317|TAC 318|TAC 319|USA|Wash 1|Wash 2|Worldwide|Worldwide Englsh","145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51|145.51","147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51|147.51","Audio Test","145.51","147.51","Audio Test","145.51","147.51"
"20","Megler WA","Audio Test|I5|Local 1|Local 2|Oregon 1|Parrot|PNW 1|PNW 2|TAC 310|Wash 1|Wash 2","444.2375|444.2375|444.2375|444.2375|444.2375|444.2375|444.2375|444.2375|444.2375|444.2375|444.2375","449.2375|449.2375|449.2375|449.2375|449.2375|449.2375|449.2375|449.2375|449.2375|449.2375|449.2375","Audio Test","444.2375","449.2375","Audio Test","444.2375","449.2375"
"21","Mt. Hebo","Audio Test|I5|Local 1|Local 2|Oregon 1|Parrot|PNW 1|PNW 2|TAC 310|Wash 1|Wash 2","442.8125|442.8125|442.8125|442.8125|442.8125|442.8125|442.8125|442.8125|442.8125|442.8125|442.8125","447.8125|447.8125|447.8125|447.8125|447.8125|447.8125|447.8125|447.8125|447.8125|447.8125|447.8125","Audio Test","442.8125","447.8125","Audio Test","442.8125","447.8125"
"22","Mt. Hood","Audio Test|I5|Local 1|Local 2|Oregon 1|Parrot|PNW 1|PNW 2|TAC 310|Wash 1|Wash 2","442.9875|442.9875|442.9875|442.9875|442.9875|442.9875|442.9875|442.9875|442.9875|442.9875|442.9875","447.9875|447.9875|447.9875|447.9875|447.9875|447.9875|447.9875|447.9875|447.9875|447.9875|447.9875","Audio Test","442.9875","447.9875","Audio Test","442.9875","447.9875"
"23","Mt. Seymour","Alberta|BC 1|BC 2|BC Local Net 1|Bridge 2 103100|Canada|Comm 1|Comm 2|DCI 1|DCI 2|English PTT 113|English PTT 123|I5|Manitoba|New Brunswick|North America|Ontario|PNW 1|PNW 2|TAC 310|Wash 1|Wash 2|Worldwide|Worldwide Englsh","443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4","448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4","Alberta","443.4","448.4","Alberta","443.4","448.4"
"24","NBend/ValleyCamp","Audio Test|Cascades East|I5|Idaho 1|Local 1|Local 2|Net 2|Oregon 1|Parrot|PNW 1|PNW 2|PNW Regional|Public Service 1|Public Service 2|TAC 1|TAC 2|TAC 3|USA|Wash 1|Wash 2","440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725","445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725","Audio Test","440.725","445.725","Audio Test","440.725","445.725"
"25","New Westminster","Alberta|BC 1|BC 2|BC Local Net 1|Bridge|Canada|Comm 1|Comm 2|DCI 1|DCI 2|English PTT 113|English PTT 123|I5|Manitoba|New Brunswick|North America|Ontario|PNW 1|PNW 2|TAC 310|Wash 1|Wash 2|Worldwide|Worldwide Englsh","444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6","449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6","Alberta","444.6","449.6","Alberta","444.6","449.6"
